symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross,signal_date
GBPUSD,2022-01-03 00:00:00+00:00,2022-01-17 00:00:00+00:00,short,1.35209,1.36725,2.8528637937326753,-0.031987083044018844,2022-01-02 00:00:00+00:00
GBPUSD,2022-01-17 00:00:00+00:00,2022-01-18 00:00:00+00:00,long,1.36725,1.36469,3.0,-0.005617114646187971,2022-01-16 00:00:00+00:00
EURUSD,2022-01-14 00:00:00+00:00,2022-01-20 00:00:00+00:00,short,1.14564,1.13427,2.4348932412667192,0.024165301624596618,2022-01-13 00:00:00+00:00
GBPUSD,2022-01-18 00:00:00+00:00,2022-01-21 00:00:00+00:00,short,1.36469,1.35964,3.0,0.01110142230103539,2022-01-17 00:00:00+00:00
EURUSD,2022-01-27 00:00:00+00:00,2022-02-03 00:00:00+00:00,long,1.12405,1.12992,2.70146159875229,0.014107539330702561,2022-01-26 00:00:00+00:00
EURUSD,2022-02-04 00:00:00+00:00,2022-02-13 00:00:00+00:00,short,1.14352,1.13369,1.7919019424772042,0.015403662458506134,2022-02-03 00:00:00+00:00
GBPUSD,2022-01-21 00:00:00+00:00,2022-02-17 00:00:00+00:00,long,1.35964,1.35811,3.0,-0.0033758936188993394,2022-01-20 00:00:00+00:00
GBPUSD,2022-02-17 00:00:00+00:00,2022-02-24 00:00:00+00:00,short,1.35811,1.35444,3.0,0.008106854378510886,2022-02-16 00:00:00+00:00
GBPUSD,2022-02-24 00:00:00+00:00,2022-03-08 00:00:00+00:00,long,1.35444,1.31129,2.5210093615908056,-0.08031478245816963,2022-02-23 00:00:00+00:00
EURUSD,2022-02-25 00:00:00+00:00,2022-03-09 00:00:00+00:00,long,1.11906,1.08984,2.6290033299508138,-0.06864643298944008,2022-02-24 00:00:00+00:00
EURUSD,2022-03-11 00:00:00+00:00,2022-03-20 00:00:00+00:00,long,1.10132,1.10561,1.2988825894526954,0.005059570614128539,2022-03-10 00:00:00+00:00
EURUSD,2022-03-30 00:00:00+00:00,2022-04-03 00:00:00+00:00,short,1.1091,1.10301,2.582227578175588,0.014178853080055051,2022-03-29 00:00:00+00:00
EURUSD,2022-04-06 00:00:00+00:00,2022-04-18 00:00:00+00:00,long,1.09058,1.08138,2.1076426917373077,-0.017779816945096567,2022-04-05 00:00:00+00:00
EURUSD,2022-04-19 00:00:00+00:00,2022-04-26 00:00:00+00:00,long,1.07799,1.07124,2.6828102168972134,-0.016798828341687895,2022-04-18 00:00:00+00:00
XAUUSD,2022-01-03 00:00:00+00:00,2022-05-11 00:00:00+00:00,long,1828.294,1833.463,2.1684333853174533,0.006130650851944704,2022-01-02 00:00:00+00:00
XAUUSD,2022-05-11 00:00:00+00:00,2022-11-11 00:00:00+00:00,short,1833.463,1751.947,0.9278569858833317,0.041252640528478435,2022-05-10 00:00:00+00:00
EURUSD,2022-04-26 00:00:00+00:00,2022-11-13 00:00:00+00:00,short,1.07124,1.03354,2.191948203438426,0.07714092758824252,2022-04-25 00:00:00+00:00
GBPUSD,2022-03-08 00:00:00+00:00,2022-11-23 00:00:00+00:00,short,1.31129,1.1893,1.9313989515588217,0.1796790626792401,2022-03-07 00:00:00+00:00
GBPUSD,2022-11-23 00:00:00+00:00,2022-11-24 00:00:00+00:00,long,1.1893,1.20756,0.8651975799870583,0.013283871025446625,2022-11-22 00:00:00+00:00
GBPUSD,2022-11-24 00:00:00+00:00,2022-12-06 00:00:00+00:00,short,1.20756,1.21916,0.9062903652140168,-0.00870595932001946,2022-11-23 00:00:00+00:00
USDJPY,2022-01-03 00:00:00+00:00,2022-12-06 00:00:00+00:00,long,115.14,136.576,3.0,0.558520062532569,2022-01-02 00:00:00+00:00
GBPUSD,2022-12-06 00:00:00+00:00,2022-12-08 00:00:00+00:00,long,1.21916,1.22089,1.2549931300056367,0.001780847563002103,2022-12-05 00:00:00+00:00
USDJPY,2022-12-06 00:00:00+00:00,2022-12-08 00:00:00+00:00,short,136.576,136.378,1.0805946056521039,0.0015665836744312618,2022-12-05 00:00:00+00:00
USDJPY,2022-12-08 00:00:00+00:00,2022-12-13 00:00:00+00:00,long,136.378,137.511,1.2074139465188996,0.010030943417603484,2022-12-07 00:00:00+00:00
USDJPY,2022-12-13 00:00:00+00:00,2022-12-14 00:00:00+00:00,short,137.511,135.573,1.1849606249242906,0.016700145378211618,2022-12-12 00:00:00+00:00
GBPUSD,2022-12-08 00:00:00+00:00,2022-12-16 00:00:00+00:00,short,1.22089,1.21902,1.2793698048485205,0.0019595717346089754,2022-12-07 00:00:00+00:00
USDJPY,2022-12-14 00:00:00+00:00,2022-12-18 00:00:00+00:00,long,135.573,135.813,1.1954739782426924,0.002116304535403186,2022-12-13 00:00:00+00:00
USDJPY,2022-12-18 00:00:00+00:00,2022-12-21 00:00:00+00:00,short,135.813,131.89,1.0305796407300307,0.02976860779589523,2022-12-16 00:00:00+00:00
