ts,equity_EURUSD,equity_GBPUSD,equity_USDJPY,equity_XAUUSD,portfolio_equity
2020-01-02 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-05 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-06 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-07 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-08 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-09 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-10 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-12 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-13 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-14 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-15 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-16 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-17 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-19 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2020-01-20 00:00:00+00:00,0.99992,0.999885,0.99991,0.99979,0.99987625
2020-01-21 00:00:00+00:00,0.99992,0.999885,0.99991,0.99979,0.99987625
2020-01-22 00:00:00+00:00,0.99992,0.999885,0.99991,0.99979,0.99987625
2020-01-23 00:00:00+00:00,0.99992,1.0169115042521575,0.99991,0.99979,1.0041328760630392
2020-01-24 00:00:00+00:00,0.99992,1.0169115042521575,0.99991,0.99979,1.0041328760630392
2020-01-26 00:00:00+00:00,0.99992,1.0169115042521575,1.019775654789071,0.99979,1.0090992897603073
2020-01-27 00:00:00+00:00,0.99992,1.026335956063054,1.019775654789071,0.99979,1.0114554027130311
2020-01-28 00:00:00+00:00,0.99992,1.026335956063054,1.019775654789071,0.99979,1.0114554027130311
2020-01-29 00:00:00+00:00,0.99992,1.026335956063054,1.019775654789071,0.99979,1.0114554027130311
2020-01-30 00:00:00+00:00,0.99992,1.026335956063054,1.019775654789071,0.99979,1.0114554027130311
2020-01-31 00:00:00+00:00,0.99992,1.0291217751796444,1.019775654789071,0.99979,1.0121518574921788
2020-02-02 00:00:00+00:00,0.9996338619674225,1.0291217751796444,1.019775654789071,0.99979,1.0120803229840345
2020-02-03 00:00:00+00:00,0.9996338619674225,1.0291217751796444,1.019775654789071,0.99979,1.0120803229840345
2020-02-04 00:00:00+00:00,1.0051677543823374,1.0404360865009337,1.019775654789071,0.99979,1.0162923739180856
2020-02-05 00:00:00+00:00,1.0051677543823374,1.0404360865009337,1.0288685590098579,1.000522869033808,1.0187488172317343
2020-02-06 00:00:00+00:00,1.0051677543823374,1.0404360865009337,1.0288685590098579,1.000522869033808,1.0187488172317343
2020-02-07 00:00:00+00:00,1.0051677543823374,1.0404360865009337,1.0288685590098579,1.000522869033808,1.0187488172317343
2020-02-09 00:00:00+00:00,1.0051677543823374,1.0404360865009337,1.0288685590098579,1.0081812756631074,1.0206634188890593
2020-02-10 00:00:00+00:00,1.0051677543823374,1.0404360865009337,1.0288685590098579,1.0081812756631074,1.0206634188890593
2020-02-11 00:00:00+00:00,1.0051677543823374,1.0404360865009337,1.0288685590098579,1.0081812756631074,1.0206634188890593
2020-02-12 00:00:00+00:00,1.0051677543823374,1.0404360865009337,1.0288685590098579,1.0098926587278834,1.0210912646552532
2020-02-13 00:00:00+00:00,1.0051677543823374,1.0404360865009337,1.0288685590098579,1.0098926587278834,1.0210912646552532
