symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross,signal_date
GBPUSD,2022-01-03 00:00:00+00:00,2022-01-17 00:00:00+00:00,short,1.35209,1.36725,2.0,-0.02242454274493566,2022-01-02 00:00:00+00:00
GBPUSD,2022-01-17 00:00:00+00:00,2022-01-18 00:00:00+00:00,long,1.36725,1.36469,2.0,-0.003744743097458647,2022-01-16 00:00:00+00:00
GBPUSD,2022-01-18 00:00:00+00:00,2022-01-21 00:00:00+00:00,short,1.36469,1.35964,2.0,0.0074009482006902605,2022-01-17 00:00:00+00:00
EURUSD,2022-01-27 00:00:00+00:00,2022-02-03 00:00:00+00:00,long,1.12405,1.12992,2.0,0.010444375250211468,2022-01-26 00:00:00+00:00
EURUSD,2022-02-04 00:00:00+00:00,2022-02-13 00:00:00+00:00,short,1.14352,1.13369,2.0,0.017192528333566548,2022-02-03 00:00:00+00:00
GBPUSD,2022-01-21 00:00:00+00:00,2022-02-17 00:00:00+00:00,long,1.35964,1.35811,2.0,-0.002250595745932893,2022-01-20 00:00:00+00:00
GBPUSD,2022-02-17 00:00:00+00:00,2022-02-24 00:00:00+00:00,short,1.35811,1.35444,2.0,0.005404569585673924,2022-02-16 00:00:00+00:00
GBPUSD,2022-02-24 00:00:00+00:00,2022-03-08 00:00:00+00:00,long,1.35444,1.31129,2.0,-0.06371636986503648,2022-02-23 00:00:00+00:00
EURUSD,2022-02-25 00:00:00+00:00,2022-03-09 00:00:00+00:00,long,1.11906,1.08984,2.0,-0.05222240094364916,2022-02-24 00:00:00+00:00
EURUSD,2022-03-11 00:00:00+00:00,2022-03-20 00:00:00+00:00,long,1.10132,1.10561,1.7494140010630985,0.006814537159554593,2022-03-10 00:00:00+00:00
EURUSD,2022-03-30 00:00:00+00:00,2022-04-03 00:00:00+00:00,short,1.1091,1.10301,1.560665944712447,0.008569520875753887,2022-03-29 00:00:00+00:00
EURUSD,2022-04-06 00:00:00+00:00,2022-04-18 00:00:00+00:00,long,1.09058,1.08138,1.6374699613404748,-0.013813497078923612,2022-04-05 00:00:00+00:00
EURUSD,2022-04-19 00:00:00+00:00,2022-04-26 00:00:00+00:00,long,1.07799,1.07124,2.0,-0.012523307266301131,2022-04-18 00:00:00+00:00
XAUUSD,2022-01-03 00:00:00+00:00,2022-05-11 00:00:00+00:00,long,1828.294,1833.463,2.0,0.005654451636333935,2022-01-02 00:00:00+00:00
XAUUSD,2022-05-11 00:00:00+00:00,2022-11-11 00:00:00+00:00,short,1833.463,1751.947,1.1114985168835996,0.049417366536594134,2022-05-10 00:00:00+00:00
EURUSD,2022-04-26 00:00:00+00:00,2022-11-13 00:00:00+00:00,short,1.07124,1.03354,2.0,0.07038572122026832,2022-04-25 00:00:00+00:00
GBPUSD,2022-03-08 00:00:00+00:00,2022-11-23 00:00:00+00:00,short,1.31129,1.1893,2.0,0.18606105438156328,2022-03-07 00:00:00+00:00
GBPUSD,2022-11-23 00:00:00+00:00,2022-11-24 00:00:00+00:00,long,1.1893,1.20756,0.8953013387316362,0.01374607117231957,2022-11-22 00:00:00+00:00
GBPUSD,2022-11-24 00:00:00+00:00,2022-12-06 00:00:00+00:00,short,1.20756,1.21916,0.8954984084517532,-0.008602290186856503,2022-11-23 00:00:00+00:00
USDJPY,2022-01-03 00:00:00+00:00,2022-12-06 00:00:00+00:00,long,115.14,136.576,2.0,0.372346708355046,2022-01-02 00:00:00+00:00
GBPUSD,2022-12-06 00:00:00+00:00,2022-12-08 00:00:00+00:00,long,1.21916,1.22089,0.9040835583451664,0.001282903438381394,2022-12-05 00:00:00+00:00
USDJPY,2022-12-06 00:00:00+00:00,2022-12-08 00:00:00+00:00,short,136.576,136.378,0.9699538997781355,0.0014061831665598459,2022-12-05 00:00:00+00:00
USDJPY,2022-12-08 00:00:00+00:00,2022-12-13 00:00:00+00:00,long,136.378,137.511,0.9735840161127924,0.008088333090790345,2022-12-07 00:00:00+00:00
USDJPY,2022-12-13 00:00:00+00:00,2022-12-14 00:00:00+00:00,short,137.511,135.573,0.9609850111701999,0.01354356343600027,2022-12-12 00:00:00+00:00
GBPUSD,2022-12-08 00:00:00+00:00,2022-12-16 00:00:00+00:00,short,1.22089,1.21902,0.998558178790081,0.0015294611261763682,2022-12-07 00:00:00+00:00
USDJPY,2022-12-14 00:00:00+00:00,2022-12-18 00:00:00+00:00,long,135.573,135.813,0.9738844082990415,0.0017240324990355417,2022-12-13 00:00:00+00:00
USDJPY,2022-12-18 00:00:00+00:00,2022-12-21 00:00:00+00:00,short,135.813,131.89,1.1773799908820741,0.03400898076200648,2022-12-16 00:00:00+00:00
