symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross,signal_date
GBPUSD,2022-01-03 00:00:00+00:00,2022-01-17 00:00:00+00:00,short,1.35209,1.36725,2.0,-0.02242454274493566,2022-01-02 00:00:00+00:00
GBPUSD,2022-01-17 00:00:00+00:00,2022-01-18 00:00:00+00:00,long,1.36725,1.36469,2.0,-0.003744743097458647,2022-01-16 00:00:00+00:00
EURUSD,2022-01-14 00:00:00+00:00,2022-01-20 00:00:00+00:00,short,1.14564,1.13427,2.0,0.019849167277679047,2022-01-13 00:00:00+00:00
GBPUSD,2022-01-18 00:00:00+00:00,2022-01-21 00:00:00+00:00,short,1.36469,1.35964,2.0,0.0074009482006902605,2022-01-17 00:00:00+00:00
EURUSD,2022-01-27 00:00:00+00:00,2022-02-03 00:00:00+00:00,long,1.12405,1.12992,2.0,0.010444375250211468,2022-01-26 00:00:00+00:00
EURUSD,2022-02-04 00:00:00+00:00,2022-02-13 00:00:00+00:00,short,1.14352,1.13369,1.9437926056518617,0.01670935472362339,2022-02-03 00:00:00+00:00
GBPUSD,2022-01-21 00:00:00+00:00,2022-02-17 00:00:00+00:00,long,1.35964,1.35811,2.0,-0.002250595745932893,2022-01-20 00:00:00+00:00
GBPUSD,2022-02-17 00:00:00+00:00,2022-02-24 00:00:00+00:00,short,1.35811,1.35444,2.0,0.005404569585673924,2022-02-16 00:00:00+00:00
GBPUSD,2022-02-24 00:00:00+00:00,2022-03-08 00:00:00+00:00,long,1.35444,1.31129,2.0,-0.06371636986503648,2022-02-23 00:00:00+00:00
EURUSD,2022-02-25 00:00:00+00:00,2022-03-09 00:00:00+00:00,long,1.11906,1.08984,2.0,-0.05222240094364916,2022-02-24 00:00:00+00:00
EURUSD,2022-03-11 00:00:00+00:00,2022-03-20 00:00:00+00:00,long,1.10132,1.10561,1.4949250578711106,0.005823219861863074,2022-03-10 00:00:00+00:00
EURUSD,2022-03-30 00:00:00+00:00,2022-04-03 00:00:00+00:00,short,1.1091,1.10301,1.7229272444869517,0.009460487709787533,2022-03-29 00:00:00+00:00
EURUSD,2022-04-06 00:00:00+00:00,2022-04-18 00:00:00+00:00,long,1.09058,1.08138,2.0,-0.01687175631315463,2022-04-05 00:00:00+00:00
EURUSD,2022-04-19 00:00:00+00:00,2022-04-26 00:00:00+00:00,long,1.07799,1.07124,2.0,-0.012523307266301131,2022-04-18 00:00:00+00:00
XAUUSD,2022-01-03 00:00:00+00:00,2022-05-11 00:00:00+00:00,long,1828.294,1833.463,2.0,0.005654451636333935,2022-01-02 00:00:00+00:00
XAUUSD,2022-05-11 00:00:00+00:00,2022-11-11 00:00:00+00:00,short,1833.463,1751.947,1.003743273373609,0.04462655459767832,2022-05-10 00:00:00+00:00
EURUSD,2022-04-26 00:00:00+00:00,2022-11-13 00:00:00+00:00,short,1.07124,1.03354,2.0,0.07038572122026832,2022-04-25 00:00:00+00:00
GBPUSD,2022-03-08 00:00:00+00:00,2022-11-23 00:00:00+00:00,short,1.31129,1.1893,2.0,0.18606105438156328,2022-03-07 00:00:00+00:00
GBPUSD,2022-11-23 00:00:00+00:00,2022-11-24 00:00:00+00:00,long,1.1893,1.20756,0.8068731699110506,0.012388383151917745,2022-11-22 00:00:00+00:00
GBPUSD,2022-11-24 00:00:00+00:00,2022-12-06 00:00:00+00:00,short,1.20756,1.21916,0.8069662022527564,-0.007751836717125498,2022-11-23 00:00:00+00:00
USDJPY,2022-01-03 00:00:00+00:00,2022-12-06 00:00:00+00:00,long,115.14,136.576,2.0,0.372346708355046,2022-01-02 00:00:00+00:00
GBPUSD,2022-12-06 00:00:00+00:00,2022-12-08 00:00:00+00:00,long,1.21916,1.22089,1.3358411020780214,0.0018955716284940964,2022-12-05 00:00:00+00:00
USDJPY,2022-12-06 00:00:00+00:00,2022-12-08 00:00:00+00:00,short,136.576,136.378,1.1703489882947524,0.0016967043966902606,2022-12-05 00:00:00+00:00
USDJPY,2022-12-08 00:00:00+00:00,2022-12-13 00:00:00+00:00,long,136.378,137.511,1.197404845514123,0.009947789892559768,2022-12-07 00:00:00+00:00
USDJPY,2022-12-13 00:00:00+00:00,2022-12-14 00:00:00+00:00,short,137.511,135.573,1.1397529894352918,0.01606301527532764,2022-12-12 00:00:00+00:00
GBPUSD,2022-12-08 00:00:00+00:00,2022-12-16 00:00:00+00:00,short,1.22089,1.21902,1.4060435916021616,0.0021535941127342043,2022-12-07 00:00:00+00:00
USDJPY,2022-12-14 00:00:00+00:00,2022-12-18 00:00:00+00:00,long,135.573,135.813,1.25386144676674,0.0022196657684346154,2022-12-13 00:00:00+00:00
USDJPY,2022-12-18 00:00:00+00:00,2022-12-21 00:00:00+00:00,short,135.813,131.89,1.138914354424456,0.03289788910050695,2022-12-16 00:00:00+00:00
